latitude,longitude,pollutant_min,pollutant_max,pollutant_avg
11.55358,76.55521,1.0,3.0,2.0
13.328028,75.797056,15.0,29.0,21.0
13.328028,75.797056,6.0,11.0,11.0
13.328028,75.797056,11.0,47.0,21.0
13.94,75.555917,31.0,61.0,47.0
13.94,75.555917,1.0,6.0,4.0
16.7602,77.1428,44.0,95.0,65.0
26.203442,78.193251,15.0,121.0,60.0
26.259242,78.216432,5.0,8.0,7.0
26.200388,78.147714,85.0,388.0,208.0
22.7289,75.8076,1.0,3.0,2.0
10.073232,76.302765,46.0,64.0,54.0
10.073232,76.302765,43.0,54.0,48.0
10.073232,76.302765,7.0,8.0,7.0
8.8787,76.6073,20.0,76.0,45.0
23.264759,77.381568,57.0,263.0,137.0
23.264759,77.381568,35.0,88.0,58.0
23.210494,77.425409,63.0,378.0,197.0
23.210494,77.425409,97.0,418.0,208.0
22.678,75.8559,27.0,95.0,60.0
22.7084,75.8815,49.0,118.0,78.0
23.142888,79.916147,19.0,116.0,46.0
20.939198,77.765701,1.0,9.0,3.0
19.8389439,75.244448,74.0,128.0,89.0
19.8389439,75.244448,10.0,11.0,11.0
19.8389439,75.244448,22.0,98.0,65.0
19.16485,73.23409,14.0,30.0,21.0
19.16485,73.23409,3.0,8.0,5.0
19.16485,73.23409,5.0,15.0,10.0
19.16485,73.23409,14.0,64.0,33.0
19.16485,73.23409,12.0,90.0,45.0
19.192056,72.9585188,5.0,23.0,10.0
16.6870449,74.2505872,50.0,94.0,76.0
16.7143745,74.2426398,32.0,58.0,41.0
16.7143745,74.2426398,3.0,34.0,20.0
18.39963,76.57452,66.0,108.0,81.0
18.39963,76.57452,5.0,25.0,11.0
18.1023399,73.4783687,49.0,88.0,64.0
24.10897,82.64558,9.0,27.0,12.0
24.10897,82.64558,24.0,125.0,44.0
23.1633321,75.800225,81.0,208.0,117.0
19.10122,74.73339,76.0,126.0,98.0
20.719516,77.000253,44.0,73.0,59.0
20.9402359,77.7895248,50.0,71.0,58.0
20.555712,74.529236,89.0,172.0,113.0
19.296481,72.840923,27.0,94.0,60.0
