country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","13-01-2026 14:00:00",28.699793,77.165453,NO2,121,193,147
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","13-01-2026 14:00:00",28.699793,77.165453,OZONE,20,47,29
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","13-01-2026 14:00:00",23.107969,72.574648,PM2.5,81,181,114
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","13-01-2026 14:00:00",23.107969,72.574648,PM10,79,196,131
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","13-01-2026 14:00:00",23.107969,72.574648,NH3,3,10,5
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","13-01-2026 14:00:00",23.107969,72.574648,CO,19,81,24
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","13-01-2026 14:00:00",22.977134,72.553024,NH3,3,23,10
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","13-01-2026 14:00:00",23.221714,72.654328,PM2.5,96,260,146
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","13-01-2026 14:00:00",23.221714,72.654328,NO2,23,60,30
India,Gujarat,Surat,"Science Center, Surat - SMC","13-01-2026 14:00:00",21.170046,72.795405,CO,35,44,41
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","13-01-2026 14:00:00",20.362421,72.918013,PM2.5,NA,NA,NA
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","13-01-2026 14:00:00",20.362421,72.918013,PM10,NA,NA,NA
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","13-01-2026 14:00:00",20.362421,72.918013,NO2,NA,NA,NA
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","13-01-2026 14:00:00",20.362421,72.918013,SO2,NA,NA,NA
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","13-01-2026 14:00:00",22.969611,72.643500,NO2,34,83,67
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","13-01-2026 14:00:00",22.969611,72.643500,NH3,3,11,8
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","13-01-2026 14:00:00",23.002657,72.591912,PM10,62,132,89
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","13-01-2026 14:00:00",23.002657,72.591912,OZONE,33,95,63
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","13-01-2026 14:00:00",23.020509,72.579261,PM10,131,196,156
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","13-01-2026 14:00:00",23.016834,72.625775,PM2.5,94,320,166
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","13-01-2026 14:00:00",23.041137,72.456691,PM10,130,194,158
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","13-01-2026 14:00:00",23.041137,72.456691,NH3,10,16,13
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","13-01-2026 14:00:00",23.023389,72.515201,PM2.5,79,137,103
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","13-01-2026 14:00:00",23.023389,72.515201,PM10,95,123,112
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","13-01-2026 14:00:00",28.674045,77.131023,NO2,44,107,65
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","13-01-2026 14:00:00",28.674045,77.131023,CO,16,138,32
India,Delhi,Delhi,"Pusa, Delhi - DPCC","13-01-2026 14:00:00",28.639652,77.146275,PM2.5,143,469,363
